first_seen	node_name	fuse_first	n_ids_first	rows
0	attn_norm-0.dst	2	4	5
1	node_13.dst	1	4	5
2	node_34.dst	1	4	5
3	node_40.dst	1	4	5
4	node_36.dst	1	4	5
5	gate-0.dst	1	4	5
6	z-0.dst	1	4	5
7	node_50.dst	2	4	5
8	node_54.dst	1	4	5
9	linear_attn_out-0.dst	1	4	5
10	attn_residual-0.dst	1	4	5
11	attn_post_norm-0.dst	2	4	5
12	ffn_moe_logits_raw-0.dst	1	4	5
13	ffn_moe_gate-0.dst	1	4	5
14	ffn_moe_up-0.dst	1	4	5
15	ffn_gate-0.dst	1	4	5
16	ffn_up-0.dst	1	4	4
17	shared_expert_gate-0.dst	1	2	4
18	ffn_moe_down-0.dst	1	4	4
19	ffn_shexp-0.dst	1	4	4
20	ffn_shexp_gated-0.dst	1	4	4
21	ffn_moe_weights_norm-0.dst	1	4	4
22	ffn_moe_weighted-0.dst	1	4	4
23	ffn_moe_out-0.dst	7	4	4
24	l_out-0.dst	2	4	4
25	attn_norm-1.dst	2	4	4
26	node_112.dst	1	4	4
27	node_133.dst	1	4	4
28	node_139.dst	1	4	4
29	node_135.dst	1	4	4
30	z-1.dst	1	4	4
31	gate-1.dst	1	4	4
32	norm-1.dst	1	4	4
33	node_149.dst	1	4	4
34	node_153.dst	1	4	4
35	attn_residual-1.dst	1	4	4
36	linear_attn_out-1.dst	1	4	4
37	attn_post_norm-1.dst	2	4	4
38	ffn_moe_logits_raw-1.dst	1	4	4
39	ffn_moe_gate-1.dst	1	4	4
40	ffn_moe_up-1.dst	1	4	4
41	ffn_gate-1.dst	1	4	4
42	ffn_up-1.dst	1	4	4
43	shared_expert_gate-1.dst	1	2	4
44	ffn_moe_down-1.dst	1	4	4
45	ffn_shexp-1.dst	1	4	4
46	ffn_shexp_gated-1.dst	1	4	4
47	ffn_moe_weights_norm-1.dst	1	4	4
48	ffn_moe_weighted-1.dst	1	4	4
49	ffn_moe_out-1.dst	7	4	4
50	l_out-1.dst	2	4	4
51	attn_norm-2.dst	2	4	4
52	node_211.dst	1	4	4
53	node_232.dst	1	4	4
54	node_238.dst	1	4	4
55	node_234.dst	1	4	4
56	gate-2.dst	1	4	4
57	z-2.dst	1	4	4
58	node_248.dst	1	4	4
59	node_252.dst	1	4	4
60	attn_residual-2.dst	1	4	4
61	attn_post_norm-2.dst	2	4	4
62	ffn_moe_logits_raw-2.dst	1	4	4
63	linear_attn_out-2.dst	1	4	4
64	norm-2.dst	1	4	4
65	ffn_moe_gate-2.dst	1	4	4
66	ffn_moe_up-2.dst	1	4	4
67	ffn_gate-2.dst	1	4	4
68	ffn_up-2.dst	1	4	4
69	shared_expert_gate-2.dst	1	2	4
70	ffn_moe_down-2.dst	1	4	4
71	ffn_shexp-2.dst	1	4	4
72	ffn_shexp_gated-2.dst	1	4	4
73	ffn_moe_weights_norm-2.dst	1	4	4
