instrument	arm	n_gen	depth	avg_ts	stddev_ts	n_batch	source_file	auditable
llama-bench	prod25-stream	128	0	9.58	1.37	512	Backup/llama_bench/matrix_longprompt_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	0	9.79	1.07	512	Backup/llama_bench/matrix_post_triage_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	0	9.65	0.83	512	Backup/llama_bench/matrix_prod25-stream_20260915_1659.json	yes (raw json in repo)
llama-bench	prod25-stream	128	0	8.76	0.45	512	Backup/llama_bench/matrix_s1commit_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	0	8.67	1.53	512	Backup/llama_bench/matrix_s1kernel_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	0	6.91	1.54	512	Backup/llama_bench/matrix_s1kernel_rerun_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	0	9.05	0.79	512	Backup/llama_bench/matrix_skip0valued_20260916.json	yes (raw json in repo)
llama-bench	prod25-stream	128	512	10.79	0.31	512	Backup/llama_bench/matrix_post_triage_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	512	12.83	1.87	512	Backup/llama_bench/matrix_prod25-stream_20260915_1659.json	yes (raw json in repo)
llama-bench	prod25-stream	128	512	8.50	0.29	512	Backup/llama_bench/matrix_s1commit_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	512	6.72	0.83	512	Backup/llama_bench/matrix_s1kernel_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	512	8.85	0.57	512	Backup/llama_bench/matrix_s1kernel_rerun_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	512	8.74	0.53	512	Backup/llama_bench/matrix_skip0valued_20260916.json	yes (raw json in repo)
llama-bench	prod25-stream	128	1024	13.18	0.46	512	Backup/llama_bench/matrix_post_triage_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	1024	10.14	0.18	512	Backup/llama_bench/matrix_prod25-stream_20260915_1659.json	yes (raw json in repo)
llama-bench	prod25-stream	128	1024	8.85	0.44	512	Backup/llama_bench/matrix_s1commit_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	1024	8.49	1.27	512	Backup/llama_bench/matrix_s1kernel_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	1024	8.55	2.55	512	Backup/llama_bench/matrix_s1kernel_rerun_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	1024	9.81	0.73	512	Backup/llama_bench/matrix_skip0valued_20260916.json	yes (raw json in repo)
llama-bench	prod25-stream	128	2048	7.96	2.03	512	Backup/llama_bench/matrix_post_triage_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	2048	10.34	0.28	512	Backup/llama_bench/matrix_prod25-stream_20260915_1659.json	yes (raw json in repo)
llama-bench	prod25-stream	128	2048	8.53	0.13	512	Backup/llama_bench/matrix_s1commit_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	2048	9.03	0.09	512	Backup/llama_bench/matrix_s1kernel_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	2048	9.67	0.04	512	Backup/llama_bench/matrix_s1kernel_rerun_20260915.json	yes (raw json in repo)
llama-bench	prod25-stream	128	2048	10.02	0.42	512	Backup/llama_bench/matrix_skip0valued_20260916.json	yes (raw json in repo)
