log	decode_graphs	bucket	ord_lo	ord_hi	n	total_median_ms	total_mean_ms	wait_median_ms	cb_median_ms	submit_median_ms
llama_bench_prod25:CGC_SERVER_MTP=0;CGC_GPU_TIMING=1;CGC_DECODE_PROFILE=1.stderr.log	49	1	1	12	12	103.40	126.34	80.25	21.73	3.69
llama_bench_prod25:CGC_SERVER_MTP=0;CGC_GPU_TIMING=1;CGC_DECODE_PROFILE=1.stderr.log	49	2	13	24	12	94.65	92.98	82.17	6.77	4.89
llama_bench_prod25:CGC_SERVER_MTP=0;CGC_GPU_TIMING=1;CGC_DECODE_PROFILE=1.stderr.log	49	3	25	36	12	89.11	94.20	74.56	10.98	5.42
llama_bench_prod25:CGC_SERVER_MTP=0;CGC_GPU_TIMING=1;CGC_DECODE_PROFILE=1.stderr.log	49	4	37	49	13	84.68	89.99	70.86	7.48	4.82
llama_bench_prod25_CGC_SERVER_MTP_0_CGC_GPU_TIMING_1_CGC_DECODE_PROFILE_1_p0_n128_d0_r3.stderr.log	49	1	1	12	12	113.48	130.39	83.15	22.06	3.67
llama_bench_prod25_CGC_SERVER_MTP_0_CGC_GPU_TIMING_1_CGC_DECODE_PROFILE_1_p0_n128_d0_r3.stderr.log	49	2	13	24	12	89.19	88.66	70.81	9.89	3.35
llama_bench_prod25_CGC_SERVER_MTP_0_CGC_GPU_TIMING_1_CGC_DECODE_PROFILE_1_p0_n128_d0_r3.stderr.log	49	3	25	36	12	90.50	87.40	77.16	8.50	3.47
llama_bench_prod25_CGC_SERVER_MTP_0_CGC_GPU_TIMING_1_CGC_DECODE_PROFILE_1_p0_n128_d0_r3.stderr.log	49	4	37	49	13	90.30	93.00	77.16	6.72	7.44
llama_bench_prod25_CGC_SERVER_MTP_0_CGC_GPU_TIMING_1_CGC_DECODE_PROFILE_1_p0_n24_d0_r8.stderr.log	25	1	1	6	6	127.98	156.44	89.60	43.39	6.08
llama_bench_prod25_CGC_SERVER_MTP_0_CGC_GPU_TIMING_1_CGC_DECODE_PROFILE_1_p0_n24_d0_r8.stderr.log	25	2	7	12	6	96.90	94.99	76.99	16.42	5.07
llama_bench_prod25_CGC_SERVER_MTP_0_CGC_GPU_TIMING_1_CGC_DECODE_PROFILE_1_p0_n24_d0_r8.stderr.log	25	3	13	18	6	101.47	106.25	80.94	16.33	5.34
llama_bench_prod25_CGC_SERVER_MTP_0_CGC_GPU_TIMING_1_CGC_DECODE_PROFILE_1_p0_n24_d0_r8.stderr.log	25	4	19	25	7	95.68	96.68	79.01	11.73	3.77
llama_bench_prod25_CGC_SERVER_MTP_0_CGC_GPU_TIMING_1_CGC_DECODE_PROFILE_1_p0_n256_d0_r3.stderr.log	97	1	1	24	24	106.31	124.32	91.91	9.07	7.39
llama_bench_prod25_CGC_SERVER_MTP_0_CGC_GPU_TIMING_1_CGC_DECODE_PROFILE_1_p0_n256_d0_r3.stderr.log	97	2	25	48	24	86.97	90.91	73.81	8.96	3.96
llama_bench_prod25_CGC_SERVER_MTP_0_CGC_GPU_TIMING_1_CGC_DECODE_PROFILE_1_p0_n256_d0_r3.stderr.log	97	3	49	72	24	83.82	86.18	72.25	5.81	3.88
llama_bench_prod25_CGC_SERVER_MTP_0_CGC_GPU_TIMING_1_CGC_DECODE_PROFILE_1_p0_n256_d0_r3.stderr.log	97	4	73	97	25	85.40	86.08	74.59	5.89	3.72
llama_server_20260916_180910.log	62	1	1	15	15	96.81	99.04	77.89	10.44	3.57
llama_server_20260916_180910.log	62	2	16	30	15	72.60	72.38	65.04	4.31	3.06
llama_server_20260916_180910.log	62	3	31	45	15	72.34	66.76	65.89	2.55	2.92
llama_server_20260916_180910.log	62	4	46	62	17	74.12	73.64	66.28	3.50	4.29
